Year,Lake_Name,Town,Ice_Out
2005,Big Lake,Princeton,4/23/2005
2005,Bowler Pond,Liberty,4/14/2005
2005,Brewer Lake,Orrington,4/17/2005
2005,Chickawaukie Lake,Rockland,4/10/2005
2005,China Lake,Vassalboro,4/11/2005
2005,Cobbossee Lake,Monmouth,4/16/2005
2005,Crystal Lake,Gray,4/16/2005
2005,Damariscotta Lake,Jefferson,4/10/2005
2005,East Pond,Smithfield,4/18/2005
2005,Embden Pond,Embden,4/23/2005
2005,Great Pond,Belgrade,4/21/2005
2005,Green Lake,Ellsworth,4/17/2005
2005,Holbrook Pond,Dedham,4/13/2005
2005,Horn Pond,Acton,4/13/2005
2005,Jackman area lakes,Jackman,5/6/2005
2005,Kennebunk Pond,Lyman,4/13/2005
2005,Lake Arrowhead,Waterboro,4/9/2005
2005,Lake St. George,Liberty,4/17/2005
2005,Lake Wassookeag,Dexter,4/26/2005
2005,Lake Winnecook (Unity Pond),Unity,4/18/2005
2005,Little Ossipee Lake,Waterboro,4/13/2005
2005,Long Pond,Belgrade,4/21/2005
2005,Lovejoy Pond,Albion,4/12/2005
2005,Lower Narrows Pond,Winthrop,4/15/2005
2005,Lucerne Lake,Dedham,4/17/2005
2005,Maranacook Lake,Readfield/Winthrop,4/18/2005
2005,Megunticook Lake,Camden,4/13/2005
2005,Messalonskee Lake,Belgrade,4/21/2005
2005,Moosehead Lake,Greenville,5/6/2005
2005,Mooselookmeguntic Lake,Oquossoc,5/5/2005
2005,Mousam Lake,Shapleigh,4/17/2005
2005,Parker Pond,Vienna,4/21/2005
2005,Pemaquid Pond,Nobleboro,4/10/2005
2005,Pinkham Pond,Alna,4/8/2005
2005,Rangeley Lake,Rangeley,5/7/2005
2005,Sabattus,Sabattus,4/17/2005
2005,Schoodic Lake,Lake View Plt.,4/25/2005
2005,Sebago Lake,Casco,4/17/2005
2005,Sebasticook Lake,Newport,4/26/2005
2005,Sebec Lake,Dover-Foxcroft,4/25/2005
2005,Sheepscot Lake,Palermo,4/17/2005
2005,Sibley Pond,Canaan,4/18/2005
2005,Silver Lake,Bucksport,4/12/2005
2005,Threemile Pond,China,4/12/2005
2005,Webber Pond,Vassalboro,4/15/2005
2005,West Grand Lake,Grand Lake Stream,4/24/2005
