Year,Lake_Name,Town,Ice_Out
2018,Alamoosook Lake,Orland,4/15/2018
2018,Allagash Lake,"T7 R14 WELS, T8 R14 WELS",5/9/2018
2018,Aziscohos Lake,"Lincoln Plt, Parkertown Twp., Lynchtown Twp.",5/7/2018
2018,Beech Hill Pond,Otis,4/21/2018
2018,Big Lake,"Princeton, Grand Lake Str,, Big Lake Twp, Greenlaw Chopping Twp",4/24/2018
2018,Big Wood Lake,"Attean, Jackman",5/4/2018
2018,Bracket Pond,Weston,5/2/2018
2018,Brewer Lake,"Orrington, Bucksport",4/18/2018
2018,Cathance Lake,"Cooper, No 14 TWP",4/23/2018
2018,Center Pond,Sangerville,4/30/2018
2018,Chamberlain Lake,"T6 R11 WELS, T6 R12 WELS, T7 R12 WELS, T7 R13 WELS",5/10/2018
2018,Chesuncook Lake,"Chesuncook Twp, T4 R12 WELS, T4 R13 WELS, T3 R12 WELS, T3R13 WELS, T2 R12 WELS",5/7/2018
2018,Chickawaukie Lake,"Rockland, Rockport",3/21/2018
2018,China Lake,"China, Vassalboro",4/24/2018
2018,Clary Lake,Whitefield,4/16/2018
2018,Cobbossee Lake,"Monmouth, W. Gardiner, Winthrop, Manchester, Litchfield",4/23/2018
2018,Cold Stream Pond,Enfield,4/29/2018
2018,Crawford Lake,Crawford,4/19/2018
2018,Cross Lake,"Cross Lake Twp., T16 R4 WELS",5/9/2018
2018,Crystal Lake,Gray,4/20/2018
2018,Damariscotta Lake,Jefferson,4/13/2018
2018,Deering Pond,Orient,5/2/2018
2018,Donnell Pond,"Franklin, T9SD",4/18/2018
2018,Eagle Lake,"Eagle Lake, T16 R6 WELS",5/10/2018
2018,Eagle Lake,"Eagle Lake Twp, Soper Mtn Twp., T7 R12 WELS",5/9/2018
2018,East Grand Lake,"Danforth, Weston, Forest City",5/2/2018
2018,East Musquash Lake,Topsfield,4/28/2018
2018,Embden Pond,Embden,5/1/2018
2018,Fields Pond,Orrington,4/18/2018
2018,First Roach Pond,Frenchtown,5/5/2018
2018,Flying Pond,"Vienna, Mt. Vernon",4/28/2018
2018,Gardners Lake,E. Machias,3/3/2018
2018,Georges Pond,Franklin,4/7/2018
2018,Great Moose Lake,"Hartland, Harmony",4/30/2018
2018,Green Lake,"Dedham, Ellsworth",4/21/2018
2018,Haley Pond,"Rangeley, Dallas Plt.",5/6/2018
2018,Hancock Pond,"Sebago, Denmark",4/25/2018
2018,Highland Lake,Bridgton,4/25/2018
2018,Highland Lake,Falmouth,4/20/2018
2018,Holbrook Pond,Eddington,4/14/2018
2018,Hopkins Pond,"Clifton, Mariaville",4/21/2018
2018,Horne Pond (Pequawket Lake),Limington,4/22/2018
2018,Kennebunk Pond,Lyman,4/13/2018
2018,Kezar Lake,Lovell,4/25/2018
2018,Lake Auburn,Auburn,4/25/2018
2018,Lake Minnehonk,Mt. Vernon,4/25/2018
2018,Lake Wassookeag,Dexter,4/30/2018
2018,Little Ossipee Lake,Waterboro,4/18/2018
2018,Little Sebago Lake,"Gray, Windham",4/22/2018
2018,Lobster Lake,"Lobster Twp, NE Carry Twp.",5/7/2018
2018,Long Lake,"St. Agatha, T17 R4 WELS, T17 R3 WELS",5/10/2018
2018,Long Lake,"Naples, Bridgton, Harrison",4/24/2018
2018,Long Pond,"Belgrade, Mt. Vernon",4/25/2018
2018,Long Pond (aka Great Pond),"Mount Desert Island, Southwest Harbor",4/13/2018
2018,Lovejoy Pond,Albion,4/22/2018
2018,Maranacook Lake,"Winthrop, Readfield",4/25/2018
2018,Mattanawcook Lake,Lincoln,4/25/2018
2018,Mattaseunk Lake,TA R5 WELS,5/2/2018
2018,Megunticook Lake,"Camden, Lincolnville, Hope",4/12/2018
2018,Messalonskee Lake (aka - Snow Pond),"Oakland, Sidney, Belgrade",4/26/2018
2018,Middle Pond,N. Waterford,4/24/2018
2018,Millinocket Lake,Millinocket area,5/5/2018
2018,Molasses Pond,Eastbrook,4/10/2018
2018,Moose Pond,"Bridgton, Denmark",4/21/2018
2018,Moosehead Lake,"Greenville, Rockwood, Lily Bay, NE Carry Twp.",5/8/2018
2018,Mooselookmeguntic Lake,"Adamstown, Rangeley, Rangeley Plt.,Richardsontown Twp.",5/10/2018
2018,Morrill Pond,Hartland,4/28/2018
2018,Mousam Lake,Shapleigh. Acton,4/20/2018
2018,Munson Pond,Fort Fairfield,5/6/2018
2018,Nequasset Lake,Woolwich,4/13/2018
2018,Nickerson Lake,"New Limerick, Linneus",5/5/2018
2018,North Pond,"Mercer, Smithfield, Rome",4/24/2018
2018,Panther Pond,Raymond,4/22/2018
2018,Paradise Pond (aka Muddy P),Damariscotta,4/1/2018
2018,Parker Pond,"Fayette,Mount Vernon,Vienna,Chesterville",4/27/2018
2018,Pemadumcook Chain of Lakes,"T4 Indian Purchase, T3 Indian Purchase, T1 R9 WELS, T1 R10 WELS",5/7/2018
2018,Pemaquid Pond,"Nobleboro, Damariscotta, Breman, Waldo",4/14/2018
2018,Phillips Lake (aka Lucerne Lake),Dedham,4/17/2018
2018,Piper Pond,Abbott,5/2/2018
2018,Pleasant Lake,"Casco, Otisfield",4/22/2018
2018,Pleasant Pond,Island Falls,5/7/2018
2018,Pleasant Pond,"Richmond, Litchfield, W. Gardiner",4/22/2018
2018,Pocomoonshine Lake,"Princeton, Alexander",4/23/2018
2018,Proctor Pond,Albany Twp.,4/25/2018
2018,Puffers Pond (aka Echo Lake),Dexter,4/28/2018
2018,Pushaw Lake,"Orono, Glenburn,Hudson",4/24/2018
2018,"Range Ponds (Upper, Middle, and Lower)",Poland,4/23/2018
2018,Rangeley Lake,"Rangeley, Rangeley Plt.",5/9/2018
2018,Raymond Pond,Raymond,4/22/2018
2018,Richardson Lake,"Township C, Richardsontown Twp.",5/7/2018
2018,Ripley Pond,Ripley,4/28/2018
2018,Rocky Pond,Orland,4/11/2018
2018,Sabattus Pond,"Greene, Wales, Sabattus",4/24/2018
2018,Sabbathday Lake,New Gloucester,4/20/2018
2018,Salmon Lake / McGrath Pond,"Oakland, Belgrade",4/24/2018
2018,Saponac Lake,Burlington,4/28/2018
2018,Schoodic Lake,"Lake View Plt., Brownville, T4R9NWP",5/5/2018
2018,Sebago Lake - Standish to Raymond opened 04/24/18.,"Casco, Sebago, Naples, Standish",3/27/2018
2018,Sebasticook Lake,Newport,4/25/2018
2018,Sebec Lake,"Bowerbank, Willimantic, Dover Foxcroft, Sebec",5/4/2018
2018,Seboeis Lake,"Lakeview, T4R9",5/5/2017
2018,Seboomook Lake,"Seboomook Twp., Plymouth Twp",5/6/2018
2018,Sheepscot Pond,Vassalboro,4/24/2018
2018,Shirley Pond,Shirley,5/2/2018
2018,Silver Lake,Bucksport,4/17/2018
2018,Silver Lake (aka Mattakeunk L),Lee,4/27/2018
2018,Songo Pond,Albany,4/27/2018
2018,Stanley Pond,Porter,4/24/2018
2018,Swan Lake,Swanville,4/23/2018
2018,Telos Lake (and Round Pond),"T6 R11 WELS, T5 R11 WELS",5/6/2018
2018,Thompson Lake,"Oxford, Otisfield, Casco",4/24/2018
2018,Toddy Pond,"Orland, Penobscot, Surry, Blue Hill",4/20/2018
2018,Torsey Lake,"Readfield, Mt. Vernon",4/25/2018
2018,Tunk Lake,"T10 SD, T7 SD",4/23/2018
2018,Umsaskis Lake,T11 R13 WELS,5/9/2018
2018,Unity Pond (aka Lake Winnecook),Unity,4/23/2018
2018,Upper Cold Stream Pond,Lincoln,4/27/2018
2018,Wabassus Lake,T43 MD BPP,4/23/2018
2018,Walkers Pond,Sedgwick,4/11/2018
2018,Washington Pond,Washington,4/20/2018
2018,Webb Lake,Weld,5/4/2018
2018,Webb Pond,"Eastbrook, Waltham",4/10/2018
2018,Wessurunsett Lake,Madison,4/29/2018
2018,West Grand Lake,"Grand Lake Str,, T6ND BPP, Sakom Twp., T6 R1 NBPP",5/2/2018
2018,Whetstone Pond,"Blanchard, Kingsbury",5/2/2018
2018,Woods Pond,Bridgton,4/25/2018
2018,Wyman Lake,Bingham,5/2/2018
