Year,Lake_Name,Town,Ice_Out
2017,Alamoosook Lake,Orland,4/14/2017
2017,Androscoggin Lake,"Wayne, Leeds",4/22/2017
2017,Annabessacook Lake,"Monmouth, Winthrop",4/18/2017
2017,Attean Lake,Jackman,4/29/2017
2017,Bear pond,"Waterford, Oxford",4/27/2017
2017,Beech Hill Pond,Otis,4/13/2017
2017,Big Labrador Pond,Sumner,4/24/2017
2017,Big Lake,"Princeton, No 14 Twp, T27 Ed BPP, Grand Lake Stream",4/18/2017
2017,Big Wood Lake,Jackman,4/29/2017
2017,Biscay Pond,"Bristol, Breman",4/7/2017
2017,Boyden Lake,Perry,4/10/2017
2017,Branch Lake,"Ellsworth, Surry, Orland",4/15/2017
2017,Brandy Pond,Naples,4/17/2017
2017,Bryant Pond (Christopher Lake),Bryant Pond,4/28/2017
2017,Cathance Lake,"Cooper, No 14 Twp",4/15/2017
2017,Chamberlain Lake,"T6 R11 WELS, T6 R12 WELS, T7 R12 WELS, T7 R13 WELS",5/3/2017
2017,Chickawaukie Lake,"Rockland, Rockport",4/12/2017
2017,China Lake,"China, Vassalboro",4/19/2017
2017,Churchill Lake,T9 R12 WELS,5/5/2017
2017,Clary Lake,Whitefield,4/13/2017
2017,Clearwater Pond,"Industry, Farmington",4/29/2017
2017,Cobbossee Lake,"Litchfield, W. Gardiner, Manchester, Winthrop",4/17/2017
2017,Cochnewagon Lake,Monmouth,4/18/2017
2017,Collins Pond,Windham,4/8/2017
2017,Crawford Lake,Crawford,4/15/2017
2017,Crescent Lake,"Raymond, Casco",4/18/2017
2017,Cross Lake,"Cross Lake Twp., T16R5 WELS",5/6/2017
2017,Crystal Lake,Gray,4/17/2017
2017,Damariscotta Lake,"Jefferson, Nobleboro",4/15/2017
2017,Duckpuddle Pond,Nobleboro,4/10/2017
2017,Dyer Long Pond,Jefferson,4/17/2017
2017,Eagle Lake,"Eagle Lake Twp, Soper Mtn Twp., T7 R12 WELS",5/5/2017
2017,East Grand Lake (Davenport Cove),Weston,4/29/2017
2017,Ell Pond,"Sanford, Wells",4/13/2017
2017,Embden Pond,Embden,4/29/2017
2017,Flying Pond,"Vienna, Mt. Vernon",4/26/2017
2017,Foster Pond,"Bridgton, Cumberland",4/19/2017
2017,Foster Pond,Palermo,4/18/2017
2017,Gardners Lake,"E. Machias, Whiting, Marion Twp.",4/9/2017
2017,Grassy Pond,Rockport,4/10/2017
2017,Great Moose Lake,Hartland,4/28/2017
2017,Great Pond,"Belgrade, Rome",4/23/2017
2017,Green Lake,"Ellsworth, Dedham",4/15/2017
2017,Hancock Pond,Denmark,4/21/2017
2017,Highland Lake,Bridgton,4/24/2017
2017,Highland Lake,Windham,4/16/2017
2017,Howard Pond,Hanover,4/29/2017
2017,Indian Lake,Whiting,4/9/2017
2017,Island Pond,"Waterford, Harrison",4/25/2017
2017,Jewett Pond,N. Waterford,4/25/2017
2017,Joys (Jay) Pond,"Whitefield, Pittston",4/16/2017
2017,Keene's Lake,Calais,4/16/2017
2017,Kennebunk Pond,Lyman,4/13/2017
2017,Keys Pond,Sweden,4/24/2017
2017,Kezar Lake,"Lovell,",4/26/2017
2017,Lake Auburn,Auburn,4/19/2017
2017,Lake Nequasset,Woolwich,4/15/2017
2017,Lake Winnecook (aka - Unity Pond),Unity,4/17/2017
2017,Lavenseller Pond,Lincolnville,4/14/2017
2017,Little Ossipee Lake,Limerick,4/14/2017
2017,Little Sebago Lake,"North Windham, Gray",4/17/2017
2017,Little Wilson Pond,"Turner,Auburn,Minot",4/26/2017
2017,Long Lake,"St. Agatha, Sinclair",5/7/2017
2017,Long Lake,"Naples, Bridgton, Harrison",4/21/2017
2017,Long Pond,"Belgrade, Mt. Vernon",4/22/2017
2017,Long Pond (aka - Great Pond),"Mount Desert, Southwest Harbor",4/11/2017
2017,Lovewell Pond,Fryeburg,4/18/2017
2017,Lower Mason Pond,Belfast,4/12/2017
2017,Maranacook Lake,"Readfield, Winthrop",4/18/2017
2017,McGrath Pond & Salmon Lake,"Oakland, Belgrade",4/21/2017
2017,McWain (Long) Pond,"Waterford, Oxford",4/25/2017
2017,Megunticook Lake,"Camden, Lincolnville, Hope",4/13/2017
2017,Messalonskee Lake (aka - Snow Pond),"Oakland, Sidney, Belgrade",4/24/2017
2017,Millinocket Lake,Millinocket Area,5/4/2017
2017,Minnehonk Lake,Mt. Vernon,4/25/2017
2017,Moody Pond,Lincolnville,4/14/2017
2017,Moose Pond,"Bridgton, Denmark",4/19/2017
2017,Moosehead Lake,"Greenville, Lily Bay, Rockwood, Northeast Carry",5/1/2017
2017,Mooselookmeguntic Lake,"Rangeley, Rangeley Plt., Adamstown Twp, Richardsontown Twp",4/30/2017
2017,Morrill Pond,Hartland,4/26/2017
2017,Nash's Lake,Calais,4/16/2017
2017,North Pond,Greenwood,4/28/2017
2017,North Pond,"Smithfield, Mercer, Rome",4/24/2017
2017,Norton Pond,Lincolnville,4/14/2017
2017,Paradise Pond,Damariscotta,4/3/2017
2017,Pattee Pond,Winslow,4/16/2017
2017,Pemadumcook Lakes,Millinocket Area,5/4/2017
2017,Pemaquid Pond,"Damariscotta, Breman, Nobleboro",4/8/2017
