Year,Lake_Name,Town,Ice_Out
2017,Pennamaquan Lake,Charlotte,4/12/2017
2017,Pennessawassee Lake,Norway,4/24/2017
2017,Phillips Lake (aka - Lucerne Lake),Dedham,4/12/2017
2017,Pleasant Pond,"Richmond, Litchfield",4/17/2017
2017,Pocomoonshine Lake,"Princeton, Alexander",4/15/2017
2017,Pocumcus Lake,"T6 ND BPP, Sakom twp.",4/24/2017
2017,Proctor Pond,Albany,4/25/2017
2017,Prong Pond,Greenville,4/28/2017
2017,Pushaw Lake,"Glenburn, Orono, Hudson, Old Town",4/21/2017
2017,Quantabacook Lake,"Searsmont, Morrill",4/16/2017
2017,"Range Ponds (Upper, Middle, and Lower)",Poland,4/18/2017
2017,Rangeley Lake,Rangeley Plt.,4/30/2017
2017,Richardson Lake,"Richardsontown Twp., Magalloway Plt., Township C",4/29/2017
2017,Round Pond,Charlotte,4/11/2017
2017,Round Pond,T6 R11 WELS,5/5/2017
2017,Sabattus Lake,Sabattus,4/17/2017
2017,Sabbathday Lake,New Gloucester,4/17/2017
2017,Sand Pond,Litchfield,4/17/2017
2017,Sand Pond (Walden),Denmark,4/22/2017
2017,Schoodic Lake,"Lake View Plt., Brownville, T4R9NWP",4/29/2017
2017,Sebago Lake,"Casco, Standish, Naples, Sebago, Windham, Standish, Raymond",4/13/2017
2017,Sebec Lake,"Dover Foxcroft, Sebec, Bowerbank, Willimantic",4/29/2017
2017,Sennebec Pond,Camden,4/17/2017
2017,Sheepscot Lake,Palermo,4/16/2017
2017,Silver Lake,Lee,4/24/2017
2017,Silver Lake,Bucksport,4/12/2017
2017,Simpson Pond,Roque Bluffs,4/9/2017
2017,Sokokis Lake,Limerick,4/17/2017
2017,Songo Pond,Albany,4/25/2017
2017,South Pond,Greenwood,4/28/2017
2017,Tacoma Lakes,Litchfield,4/22/2017
2017,Telos Lake,"T6 R11 WELS, T5 R11 WELS",5/2/2017
2017,Toddy Pond,"Orland, Penobscot, Surry, Blue Hill",4/12/2017
2017,Togus Pond,Augusta,4/17/2017
2017,Torsey Lake,"Mount Vernon, Readfield",4/22/2017
2017,Umsaskis Lake,T11 R13 WELS,5/2/2017
2017,Upper Cold Stream Pond,"Lincoln, Burlington",4/20/2017
2017,Varnum Pond,Temple,4/29/2017
2017,Washington Pond,Washington,4/14/2017
2017,Webb Lake,Weld,4/29/2017
2017,Webber Pond,Breman,4/11/2017
2017,Wesserunsett Lake,Madison,4/28/2017
2017,West Grand Lake,Grand Lake Stream,4/26/2017
2017,West Pond,Ebeemee,4/29/2017
2017,Wilson Pond,"Wayne, Winthrop",4/23/2017
2017,Wood Pond,Bridgton,4/22/2017
2017,Woodbury Pond,Litchfield,4/17/2017
2017,Worthley Pond,Peru,4/25/2017
2017,Wyman Lake,Bingham,4/29/2017
