Year,Lake_Name,Town,Ice_Out
2016,Sheepscot Lake,Palermo,3/16/2016
2016,Silver Lake,Bucksport,3/11/2016
2016,Six-mile Lake,Marshfield,3/12/2016
2016,Songo Pond,Albany,4/2/2016
2016,Spencer Pond,"E. Middlesex Canal Grant Twp, Spencer Bay Twp",4/21/2016
2016,Swans Pond,Lyman,3/11/2016
2016,Tacoma Lakes,"Litchfield, Monmouth",3/17/2016
2016,Telos Lake,"T6 R11 WELS, T5 R11 WELS",4/26/2016
2016,Thompson Lake,"Casco, Poland, Oxford, Otisfield",3/26/2016
2016,Threemile Pond,"Vassalboro, China, Windsor",3/15/2016
2016,Toddy Pond,"Orland, Penobscot, Surry, Blue Hill",3/13/2016
2016,Togus Pond,Augusta,3/15/2016
2016,Tunk Lake,T10SD BPP,3/10/2016
2016,Umbagog Lake,"Upton, Magallway, Errol, NH",4/17/2016
2016,Umsaskis Lake,T11 R13 WELS,5/5/2016
2016,Unity Pond (aka Lake Winnecook),Unity,3/15/2016
2016,Wadley Pond,Lyman,3/11/2016
2016,Walkers Pond,Brooksville,3/2/2016
2016,Washington Pond,Washington,3/11/2016
2016,Webb Lake,Weld,4/9/2016
2016,Wesserunsett Lake,Madison,4/3/2016
2016,West Grand Lake,"Grand Lake Str,, T6ND BPP, Sakom Twp., T6 R1 NBPP",4/2/2016
2016,West Pond,Ebeemee,4/19/2016
2016,Wyman Lake,Bingham,4/18/2016
