Year,Lake_Name,Town,Ice_Out
2006,Big Lake,Princeton,4/1/2006
2006,Chickawaukie Pond,Rockport/Rockland,3/18/2006
2006,China Lake,China,3/29/2006
2006,Cobbossee Lake,Monmouth/Manchester,3/31/2006
2006,Crystal Lake,Gray,3/29/2006
2006,Damariscotta Lake,Jefferson,3/27/2006
2006,East Pond,Smithfield,3/27/2006
2006,Graham Lake,Ellsworth,3/29/2006
2006,Great Pond,Cape Elizabeth,3/19/2006
2006,Great Pond,Belgrade,4/3/2006
2006,Green Lake,Ellsworth,4/1/2006
2006,Highland Lake,Falmouth,3/24/2006
2006,Hosmer Pond,Camden,3/26/2006
2006,Lake Auburn,Auburn,3/31/2006
2006,Lake St. George,Liberty,3/29/2006
2006,Lancaster Mill Pond,Clinton,3/19/2006
2006,Little Ossipee,Waterboro,3/23/2006
2006,Little Sebago Lake,Windham,3/27/2006
2006,Long Lake,"St. Clair, St. Agatha",4/28/2006
2006,Long Pond,Belgrade,4/1/2006
2006,Lower Narrows Pond,Winthrop,3/31/2006
2006,Lucerne Lake,Dedham,3/31/2006
2006,Maranacook Lake,Winthrop/Readfield,3/30/2006
2006,Megunticook Lake,Camden,3/28/2006
2006,Messalonskee Lake,Oakland,4/3/2006
2006,Moosehead Lake,Greenville,4/19/2006
2006,Mooselookmeguntic Lake,Oquossoc,4/23/2006
2006,Nicatous Lake,T40MD,4/4/2006
2006,North Pond,Smithfield,3/31/2006
2006,Norton Pond,Lincolnville,3/28/2006
2006,Parker Pond,Vienna,3/30/2006
2006,Pemaquid Pond,Nableboro,3/23/2006
2006,Pleasant Pond,Richmond,3/29/2006
2006,Pushaw Pond,Old Town,4/1/2006
2006,Rangeley Lake,Rangeley,4/23/2006
2006,Richardson Lake,Richardsontown Twp.,4/23/2006
2006,Sabbatus Pond,Sabbatus,3/27/2006
2006,Schoodic Lake,Lake View Plt.,4/6/2006
2006,Sebago Lake,Casco,3/25/2006
2006,Sebec Lake,Dover-Foxcroft,4/14/2006
2006,Thomas Pond,Casco,3/24/2006
2006,Threemile Pond,China,3/22/2006
2006,Toddy Pond,Orland,4/1/2006
2006,Webb Lake,Weld,4/14/2006
2006,Wesserunsett Lake,Madison,4/2/2006
2006,West Grand Lake,Grand Lake Str.,4/3/2006
