Year,Lake_Name,Town,Ice_Out
2011,Annabessacook Lake,"Monmouth, Winthrop",4/17/2011
2011,Bauneag Beg Lake,"N. Berwick, Sanford",4/13/2011
2011,Beech Hill Pond,Otis,4/16/2011
2011,Big Lake,Grand Lake Stream,4/20/2011
2011,Big Wood Lake,Jackman,5/1/2011
2011,Biscay Pond,Nobleboro,4/13/2011
2011,Bracket Lake,Weston,4/30/2011
2011,Branch Lake,Ellsworth,4/15/2011
2011,Cathance Lake,"Cooper, No. 14 TWP",4/17/2011
2011,Chesuncook Lake,T3 R12 WELS,4/30/2011
2011,Chickawaukie Lake,Rockland,4/12/2011
2011,China Lake,"China, Vassalboro",4/17/2011
2011,Cobbossee Lake,"Monmouth, Richmond",4/18/2011
2011,Cold Stream Pond,Enfield,4/21/2011
2011,Crescent Lake,"Raymond, Casco",4/19/2011
2011,Crescent Lake,"Raymond, Casco",4/20/2011
2011,Cross Lake,Cross Lake TWP,5/5/2011
2011,Cross Pond,Morrill,4/12/2011
2011,Crystal Lake,Gray,4/17/2011
2011,Damariscotta Lake,Jefferson,4/15/2011
2011,Drews Lake (aka - Meduxnekeag),"Linneus, New Limerick",4/28/2011
2011,E. Musquash,Topsfield,4/21/2011
2011,Eagle Lake,Bar Harbor,4/11/2011
2011,Eagle Lake,Eagle Lake,5/8/2011
2011,East Grand Lake,Danforth,4/27/2011
2011,Echo Lake,Mount Desert Island,4/14/2011
2011,Echo Lake,Mt. Vernon,4/20/2011
2011,Estes Lake,Sanford,4/10/2011
2011,First Roach Lake,Kokadjo,4/29/2011
2011,"Fox Pond, Long Pond",Township 10,4/13/2011
2011,Gardner Lake,E. Machias,4/10/2011
2011,Great East Lake,Acton,4/18/2011
2011,Great Moose Lake,Hartland,4/22/2011
2011,Great Pond,Belgrade,4/22/2011
2011,Green Lake,Dedham/Ellsworth,4/17/2011
2011,Hancock Pond,Denmark,4/20/2011
2011,Hermon Pond,Hermon,4/14/2011
2011,Hopkins Pond,"Mariaville, Clifton",4/21/2011
2011,Lake Auburn,Auburn,4/21/2011
2011,Lake George,Skowhegan,4/23/2011
2011,Lake St. George,Liberty,4/21/2011
2011,Lake Wassookeag,Dexter,4/29/2011
2011,Little Sebago Lake,Gray,4/17/2011
2011,Long Lake,St. Agatha,5/9/2011
2011,Long Pond,Parsonfield,4/17/2011
2011,Long Pond,Belgrade,4/22/2011
2011,Long Pond (aka Great Pond),Mt. Desert Island,4/11/2011
2011,Lovewell Pond,Fryeburg,4/18/2011
2011,Lower Narrows Pond,Winthrop,4/17/2011
2011,Mace's Pond,Rockport,4/12/2011
2011,Madawaska Lake,T16 R4 WELS,5/5/2011
2011,Maranacook Lake,"Readfield, Winthrop",4/21/2011
2011,Meddybemps Lake,Meddybemps,4/17/2011
2011,Megunticook Lake,Camden,4/14/2011
2011,Messalonskee Lake (aka - Snow Pond),Oakland,4/21/2011
2011,Millinocket Lake,T1 R8 WELS,5/2/2011
2011,Moosehead Lake,"Greenville, Rockwood",5/4/2011
2011,Mooselookmeguntic Lake,Oquossoc,5/3/2011
2011,Morrill Pond,Hartland,4/23/2011
2011,Mousam Lake,Shapleigh,4/18/2011
2011,Muddy Pond (aka Paradise Pond),Damariscotta,4/9/2011
2011,Nequasset Lake,Woolwich,4/12/2011
2011,Nicatous Lake,"T3 ND, T40 MD",4/22/2011
2011,Nickerson Lake,New Limerick,4/30/2011
2011,North Pond,Smithfield,4/18/2011
2011,Pemadumcook Chain of Lakes,T1 R9 WELS,5/4/2011
2011,Pemaquid Pond,Nobleboro,4/13/2011
2011,Pequawtek Lake (aka - Horne Pond),Limington,4/19/2011
2011,Phillips Lake (aka Lucerne Lake),Dedham,4/16/2011
2011,Pinkham Pond,Alna,4/14/2011
2011,Pleasant Lake,Alexander,4/17/2011
2011,Pleasant Pond,Richmond,4/17/2011
2011,Pleasant Pond,Island Falls,5/3/2011
2011,Plymouth Pond,Plymouth,4/15/2011
2011,Pocomoonshine,Alexander,4/17/2011
2011,Pocomoonshine Lake,Princeton,4/14/2011
2011,Pushaw Lake,Orono,4/15/2011
2011,Rangeley Lake,Rangeley,5/4/2011
2011,Salmon Lake and McGrath Pond,Belgrade,4/21/2011
2011,Schoodic Lake,Lake View Plt.,4/29/2011
2011,Sebago Lake - The Sebago State Park ramp is open 24/7 until May 27th.,"Casco, Raymond, Standish",4/15/2011
2011,Sebec Lake,Dover-Foxcroft,4/29/2011
2011,Sennebec Pond,Appleton,4/11/2011
2011,Sennebec Pond,Appleton,4/13/2011
2011,Sheepscott Lake,Palermo,4/21/2011
2011,Six-Mile Lake,Marshfield,4/17/2011
2011,St. Froid Lake,Winterville,5/8/2011
2011,"Tacoma Lakes (Woodbury, Sand, and Buker)",Litchfield,4/16/2011
2011,Thompson Lake,"Oxford, Casco",4/23/2011
2011,Threemile Pond,Vassalboro,4/21/2011
2011,Toddy Pond,Ellsworth,4/12/2011
2011,Unity Pond (aka Lake Winnecook),Unity,4/17/2011
2011,Washington Pond,Washington,4/16/2011
2011,Wesserunsett Lake,Madison,4/23/2011
2011,West Grand Lake,Grand Lake Stream,4/24/2011
2011,Wyman Lake,Bingham,5/1/2011
