Year,Lake_Name,Town,Ice_Out
2004,Big Lake,Princeton,4/22/2004
2004,Brewer Lake,Orrington,4/15/2004
2004,China Lake,China,4/17/2004
2004,Cold Stream Pond,Enfield,4/16/2004
2004,Crystal Lake,Gray,4/15/2004
2004,Damariscotta Lake,Jefferson,4/16/2004
2004,East Pond,Smithfield,4/15/2004
2004,Embden Pond,Embden,4/22/2004
2004,Great Moose Lake,Hartland,4/19/2004
2004,Great Pond,Belgrade,4/20/2004
2004,Green Lake,Ellsworth,4/19/2004
2004,Lake Cobbosseecontee,Winthrop,4/15/2004
2004,Long Lake,Bridgton,4/19/2004
2004,Long Pond,Belgrade,4/15/2004
2004,Long Pond,Belgrade,4/20/2004
2004,Lower Narrows Pond,Winthrop,4/15/2004
2004,Lucerne Lake,Dedham,4/16/2004
2004,Maranacook Lake,Winthrop/Readfield,4/19/2004
2004,Messalonskee Lake,Belgrade,4/20/2004
2004,Moosehead Lake,Greenville,5/1/2004
2004,Parker Pond,Vienna,4/19/2004
2004,Pemaquid Pond,Nobleboro,4/12/2004
2004,Pleasant Pond,Richmond,4/15/2004
2004,Rangeley Lake,Rangeley,5/2/2004
2004,Schoodic Lake,Lake View Plt.,4/21/2004
2004,Sebago Lake,Casco,4/17/2004
2004,Sebec Lake,Dover-Foxcroft,5/1/2004
2004,Sheman Lake,Newcastle,4/12/2004
2004,Silver Lake,Bucksport,4/14/2004
2004,Tacoma Lakes,Litchfield,4/13/2004
2004,Threemile Pond,China,4/13/2004
2004,Unity Pond,Unity,4/15/2004
2004,Webb Lake,Weld,5/1/2004
2004,West Grand Lake,Grand Lake Str.,4/28/2004
2004,Wyman Lake,Bingham,4/22/2004
