Year,Lake_Name,Town,Ice_Out
2013,Beech Hill Pond,Otis,4/15/2013
2013,"Big Lake, Long, Lewey",Princeton,4/17/2013
2013,Big Wood Lake,Jackman,5/1/2013
2013,Chesuncook Lake,T3 R12 WELS,5/2/2013
2013,Chickawaukie Lake,Rockland,4/3/2013
2013,China Lake,"Vassalboro, China",4/7/2013
2013,Clary Lake,Whitefield,4/8/2013
2013,Cobbossee Lake,"Monmouth, Manchester, West Gardiner",4/8/2013
2013,Cold Stream Pond,Enfield,4/16/2013
2013,Crawford Lake,Crawford,4/15/2013
2013,Crescent Lake,"Raymond, Casco",4/9/2013
2013,Cross Lake,Cross Lake Twp.,5/2/2013
2013,Damariscotta Lake,Jefferson,4/6/2013
2013,Eagle Lake,Mount Desert Island,3/31/2013
2013,East Grand Lake,Danforth,4/22/2013
2013,East Musquash,Topsfield,4/20/2013
2013,East Pond,Belgrade,4/10/2013
2013,First Roach Pond,Frenchtown Twp.,4/29/2013
2013,Gardners Lake,E. Machias,4/6/2013
2013,Great Moose Lake,Hartland,4/18/2013
2013,Great Pond,Belgrade,4/11/2013
2013,Green Lake,Ellsworth,4/11/2013
2013,Hancock Pond,Denmark,4/14/2013
2013,Jones Pond,Gouldsboro,4/2/2013
2013,Lake Auburn,Auburn,4/14/2013
2013,Lake St. George,Liberty,4/16/2013
2013,Lake Wassookeag,Dexter,4/17/2013
2013,Little Ossipee Lake,Waterboro,4/10/2013
2013,Little Sebago Lake,Windham,4/8/2013
2013,Long Lake,St. Agatha,5/2/2013
2013,Long Pond,Belgrade,4/15/2013
2013,Lower Narrows Pond,Winthrop,4/9/2013
2013,Meddybemps Lake,Meddybemps,4/9/2013
2013,Messalonskee Lake,Oakland,4/11/2013
2013,Mic Mac Pond,Deblois,4/7/2013
2013,Millinocket Lake,Millinocket area,4/26/2013
2013,Montegail Pond,T19MD BPP,4/7/2013
2013,Moosehead Lake,"Greenville, Rockwood",4/28/2013
2013,Mooselookmeguntic Lake,Oquossoc,5/2/2013
2013,Morrill Pond,Hartland,4/15/2013
2013,Morrill Pond,Pokey Lake,4/15/2013
2013,North Pond,Smithfield,4/10/2013
2013,Pattee Pond,Winslow,4/8/2013
2013,Peaked Mtn Pond,Northfield,4/7/2013
2013,Pemadumcook Chain of Lakes,Millinocket area,4/26/2013
2013,Pemaquid Pond,Nobleboro,4/2/2013
2013,Pemaquid Pond,Nobleboro,4/6/2013
2013,Phillips Lake (Lucerne),Dedham,4/10/2013
2013,Pierce Pond,Pierce Pond Twp.,4/30/2013
2013,Pleasant Pond,Richmond,4/8/2013
2013,Pleasant Pond,Richmond,4/8/2013
2013,Pleasant Pond,Island Falls,4/29/2013
2013,Pocamoonshine Lake,Princeton/Alexander,4/16/2013
2013,Pushaw Lake,Orono,4/10/2013
2013,Rangeley Lake,Rangeley,5/2/2013
2013,Richardson Lake,Richardsontown,5/1/2013
2013,Sabattus Lake,Sabattus,4/7/2013
2013,Sam Hill Lake,Day Block TWP,4/7/2013
2013,Schoodic Lake,Lake View Plt.,4/17/2013
2013,Scopan Lake,T11 R4,4/28/2013
2013,Sebago Lake,"Casco, Windham, Sebago, Naples, Standish",3/29/2013
2013,Sebasticook Lake,Newport,4/10/2013
2013,Sebec Lake,Dover-Foxcroft,4/20/2013
2013,Sheepscott Lake,Palermo,4/12/2013
2013,Songo Pond,Albany,4/17/2013
2013,Stump Pond,Ellsworth Lincoln,4/12/2013
2013,Tacoma Lakes,Litchfield,4/6/2013
2013,Threemile Pond,Palermo,4/7/2013
2013,Togus Pond,Augusta,4/8/2013
2013,Tunk Lake,T10 SD,4/7/2013
2013,Unity Pond (Lake Winnecook),Unity,4/10/2013
2013,Upper Range Pond,Poland,4/7/2013
2013,Washington Pond,Washington,4/8/2013
2013,Webb Lake,Weld,4/21/2013
2013,Wesserunsett Lake,Madison,4/17/2013
2013,West Grand Lake,Grand Lake Stream,4/20/2013
