Year,Lake_Name,Town,Ice_Out
2003,Big Wood Pond,Jackman,5/3/2003
2003,China Lake,China,4/22/2003
2003,Cobbossee Lake,Winthrop,4/22/2003
2003,Crystal Lake,Gray,4/21/2003
2003,Damariscotta Lake,Jefferson,4/16/2003
2003,Eagle Lake,Eagle Lake,5/10/2003
2003,East Grand Lake,Danforth,5/10/2003
2003,Ellsworth area lakes,Ellsworth,4/28/2003
2003,Embden Pond,Embden,4/30/2003
2003,Gardner Lake,East Machias,4/27/2003
2003,Great Moose Lake,Hartland,4/28/2003
2003,Great Pond,Belgrade,4/25/2003
2003,Green Lake,Ellsworth,4/29/2003
2003,Highland Lake,Falmouth,4/16/2003
2003,Indian Lake,Whiting,4/24/2003
2003,Lake Auburn,Auburn,4/25/2003
2003,Lake St. George,Liberty,4/25/2003
2003,Litlle Sebago Lake,Gray,4/18/2003
2003,Long Lake/Brandy P.,Naples,4/22/2003
2003,Long Pond,Belgrade,4/25/2003
2003,Lower Narrows Pond,Winthrop,4/23/2003
2003,Lucerne Lake,Dedham,4/26/2003
2003,Maranacook Lake,Winthrop/Readfield,4/24/2003
2003,Megunticook Lake,Camden,4/26/2003
2003,Messalonskee Lake,Oakland,4/25/2003
2003,Moose Pond,Bridgton,4/22/2003
2003,Moosehead Lake,Greenville,5/7/2003
2003,Morrill Pond,Hartland,4/24/2003
2003,Mousam Lake,Shapleigh,4/22/2003
2003,North Pond,Smithfield,4/25/2003
2003,Panther Pond,Raymond,4/19/2003
2003,Parker Pond,Vienna,4/27/2003
2003,Pemaquid Pond,Nobleboro,4/16/2003
2003,Pleasant Pond,Litchfield,4/22/2003
2003,Pleasant River Lake,Beddington,4/28/2003
2003,Plymouth Pond,Plymouth,4/26/2003
2003,Portage Lake,Portage,5/7/2003
2003,Rangeley Lake,Rangeley,5/6/2003
2003,Round Lake,Township 19,4/21/2003
2003,Salmon/McGrath Pds.,Belgrade,4/25/2003
2003,Schoodic Lake,Lake View Plt.,5/3/2003
2003,Sebago Lake,Casco,4/24/2003
2003,Sebec Lake,Dover-Foxcroft,5/5/2003
2003,Sherman Lake,Newcastle,4/16/2003
2003,Square Lake,Square Lake,5/10/2003
2003,Square Pond,Acton,4/22/2003
2003,Thompson Lake,Oxford,4/22/2003
2003,Umbagog Lake,Magalloway,4/30/2003
2003,Unity Pond,Unity,4/25/2003
2003,Webb Lake,Weld,4/30/2003
2003,Webber Pond,Vasselboro,4/22/2003
2003,West Grand Lake,Grand Lake Str.,5/9/2003
2003,Wyman Lake,Wyman,4/30/2003
