Year,Lake_Name,Town,Ice_Out
2014,Alford Lake,Hope,4/14/2014
2014,Annabessacook Lake,"Monmouth, Winthrop",4/20/2014
2014,Big Lake,Grand Lake Str / Princeton,4/24/2014
2014,Bog Lake,Marion TWP,4/24/2014
2014,Cathance Lake,Cooper / No. 14 TWP,4/23/2014
2014,Chesuncook Lake,T3 R12 WELS,5/6/2014
2014,Chickawaukie Lake,Rockland/Rockport,4/12/2014
2014,China Lake,China,4/23/2014
2014,Clary Lake,Whitefield,4/15/2014
2014,Cobbossee Lake,Monmouth / Winthrop,4/22/2014
2014,Cochnewagon Lake,Monmouth,4/21/2014
2014,Cold Stream Pond,Enfield,4/28/2014
2014,Crawford Lake,Crawford,4/23/2014
2014,Crescent Lake,Raymond,4/21/2014
2014,Cross Lake,"Cross Lake Township, Aroostook County",5/8/2014
2014,Crystal Lake,Gray,4/18/2014
2014,Damariscotta Lake,"Jefferson, Nobleboro",4/14/2014
2014,Eagle Lake,Mount Desert Island,4/14/2014
2014,Eagle Lake,Eagle Lake,5/10/2014
2014,East Grand Lake / Spednik Lake,Weston,5/5/2014
2014,East Musquash Lake,Topsfield,5/2/2014
2014,East Pond,Smithfield,4/25/2014
2014,East Pond,Smithfield / Oakland,4/24/2014
2014,Embden Pond,Embden,5/4/2014
2014,Flying Pond,Vienna,4/28/2014
2014,Gardners Lake,East Machias,4/17/2014
2014,Grassy Pond,Rockport,4/13/2014
2014,Great Moose Lake,Hartland,4/28/2014
2014,Great Pond,Belgrade / Rome,4/25/2014
2014,Green Lake,Dedham / Ellsworth,4/25/2014
2014,Hadley Lake,East Machias,4/17/2014
2014,Highland Lake,Bridgton,4/23/2014
2014,Hobbs Pond,Hope,4/22/2014
2014,Hosmer Pond,Camden,4/15/2014
2014,Indian Lake,Whiting,4/19/2014
2014,Kezar Lake,Lovell,4/24/2014
2014,Lake Auburn,Auburn,4/23/2014
2014,Lake St. George,Liberty,4/23/2014
2014,Lake Wassookeag,Dexter,4/29/2014
2014,Lermond Pond,Hope,4/15/2014
2014,Little Cobbossee Lake,Manchester,4/20/2014
2014,Long Lake,St. Agatha,5/10/2014
2014,Long Lake (AWW),T11 R13 WELS,5/6/2014
2014,Long Pond,Belgrade / Mt. Vernon,4/25/2014
2014,Lower Narrows Pond,Winthrop,4/22/2014
2014,Lower Range Pond,Poland,4/21/2014
2014,Maranacook Lake,Winthrop / Readfield,4/23/2014
2014,Mattanawcook Lake,Lincoln,4/28/2014
2014,McGraw Pond,Oakland,4/24/2014
2014,Megunticook Lake,Camden/Lincolnville,4/15/2014
2014,Messalonskee Lake (Snow Pond),Belgrade / Oakland,4/24/2014
2014,Millinocket Lake,T1 R8,5/9/2014
2014,Minnehonk Lake,Mt. Vernon,4/28/2014
2014,Moody Pond,Lincolnville,4/16/2014
2014,Moosehead Lake,Greenville / Rockwood,5/10/2014
2014,Mooselookmeguntic Lake,Oquossoc,5/9/2014
2014,Morrill Pond,Hartland,4/25/2014
2014,North Pond,Smithfield / Belgrade,4/24/2014
2014,Norton Pond,Lincolnville,4/15/2014
2014,Orange Lake,Whiting,4/19/2014
2014,Patrick Lake,Marion,4/19/2014
2014,Pemadumcook Chain of Lakes,Millinocket Area,5/5/2014
2014,Pemaquid Pond,"Nobleboro, Damariscotta",4/14/2014
2014,Phillips Lake (Lucerne Lake),Dedham,4/17/2014
2014,Pleasant Pond,Richmond,4/19/2014
2014,Pleasant Pond,Island Falls,5/5/2014
2014,Pocomoonsshine Lake,Princeton,4/23/2014
2014,Rangeley Lake,Rangeley / Oquossoc,5/11/2014
2014,Rocky Lake,Whiting,4/19/2014
2014,Sabattus Pond,Sabattus,4/19/2014
2014,Sand Pond,Chesterville,4/26/2014
2014,Schoodic Lake,Lakeview Plt,5/5/2014
2014,Sebago Lake,"Windham, Standish, Casco, Sebago",4/20/2014
2014,Sebasticook Lake,Newport,4/25/2014
2014,Sebec Lake,Dover-Foxcroft,5/4/2014
2014,Sheepscot Lake,Palermo,4/23/2014
2014,Songo Pond,Albany,4/26/2014
2014,Stump Pond,Lincoln,4/28/2014
2014,Thompson Lake,Oxford / Otisfield / Poland / Casco,4/23/2014
2014,Toddy Pond,"Orland, Penobscot, Surry, Blue Hill",4/17/2014
2014,Togus Pond,Augusta,4/20/2014
2014,Umsaskis Lake,T11 R13 WELS,5/6/2014
2014,Unity Pond (Lake Winnecook),Unity,4/21/2014
2014,Upper Narrows Pond,Winthrop,4/23/2014
2014,Washington Pond,Washington,4/15/2014
2014,Webb Lake,Weld,5/6/2014
2014,Wesserunsett Lake,Madison,4/29/2014
2014,West Grand Lake,Grand Lake Stream,4/28/2014
2014,West Musquash Lake,T6R1 NBPP / Talmadge,5/2/2014
2014,Wyman Lake,Bingham,5/4/2014
