Year,Lake_Name,Town,Ice_Out
2008,Alamoosook Lake,Orland,4/23/2008
2008,Azicohos Lake,Licoln Plt.,5/4/2008
2008,Bauneg Beg Lake,N. Berwick,4/19/2008
2008,Brewer Lake,Orrington,4/17/2008
2008,China Lake,China,4/17/2008
2008,Cobbossee Lake,Monmouth,4/21/2008
2008,Cochnewagon Lake,Monmouth,4/21/2008
2008,Cross Lake,T17R5 WELS,5/9/2008
2008,Crystal Lake,Gray,4/20/2008
2008,Damariscotta Lake,Jefferson,4/17/2008
2008,Davis Pond,Eddington,4/17/2008
2008,Drews Lake,New Limerick,5/6/2008
2008,East Grand Lake,Danforth,5/2/2008
2008,East Pond,Belgrade,4/23/2008
2008,Embden Pond,Embden,5/1/2008
2008,Fields Pond,Orrington,4/17/2008
2008,Flagstaff Lake,Flagstaff,4/26/2008
2008,Great East Lake,Acton,4/23/2008
2008,Great Pond,Belgrade,4/23/2008
2008,Green Lake,Ellsworth,4/21/2008
2008,Highland Lake,Bridgton,4/19/2008
2008,Johnson Pond,Waterville,4/17/2008
2008,Kennebunk Pond,Dayton,4/20/2008
2008,Kezar Lake,Lovell,4/27/2008
2008,Kingbury Pond,Kingsbury,4/28/2008
2008,Lake Arrowhead,Waterboro,4/17/2008
2008,Lake Auburn,Auburn,4/23/2008
2008,Little Sebago Lake,N. Windham,4/24/2008
2008,Long Lake,St. Agatha,5/9/2008
2008,Long Pond,Mount Vernon,4/23/2008
2008,Lovewell Pond,Lovewell,4/23/2008
2008,Lower Narrows Pond,Winthrop,4/22/2008
2008,Lucerne Lake,Dedham,4/19/2008
2008,Maranacook Lake,Winthrop/Readfield,4/23/2008
2008,Megunticook Lake,Camden,4/17/2008
2008,Messalonskee Lake,Belgrade,4/23/2008
2008,Mooselookmeguntic,Rangeley,4/30/2008
2008,Mooshead Lake,Greenville,5/7/2008
2008,Mousam Lake,Shapleigh,4/20/2008
2008,North Pond,Smithfield,4/24/2008
2008,Panther Pond,Raymond,4/21/2008
2008,Parker Pond,Vienna,4/23/2008
2008,Pemaquid Pond,Nobleboro,4/17/2008
2008,Pleasant Lake,Stetson,4/22/2008
2008,Pleasant Pond,Richmond/ Litchfield,4/19/2008
2008,Portage Lake,Portage,5/4/2008
2008,Rangeley Lake,Rangeley,5/5/2008
2008,Richardson Lake,Richardson Twp.,5/3/2008
2008,Sabattus Pond,Sabattus,4/20/2008
2008,Schoodic Lake,Lake View Plt.,4/29/2008
2008,Sebago Lake,Sebago,4/21/2008
2008,Sebec Lake,Dover-Foxcroft,4/29/2008
2008,Sheepscot Lake,Palermo,4/19/2008
2008,Songo Pond,Albany,4/26/2008
2008,Square Lake,Square Lake twp.,5/9/2008
2008,Square Pond,Shapleigh,4/20/2008
2008,Tacoma Lakes,Litchfield,4/21/2008
2008,Taylor Pond,Mount Vernon,4/20/2008
2008,Thompson Lake,Otisfield,4/23/2008
2008,Threemile Pond,China,4/18/2008
2008,Unity Pond,Unity,4/17/2008
2008,Webber Pond,Vassalboro,4/18/2008
2008,West Grand Lake,Grand Lake Str.,4/27/2008
2008,Wyman Lake,Wyman,4/28/2008
2008,Young's Pond,Otis,4/20/2008
