Year,Lake_Name,Town,Ice_Out
2015,Alamoosook Lake,Orland,4/21/2015
2015,Alford Lake,Hope,4/23/2015
2015,Androscoggin Lake,"Leeds, Wayne",4/22/2015
2015,Aziscohos Lake,"Parkertown, Lincoln Plt,Lynchtown Plt.",5/2/2015
2015,Beech Hill Pond,Otis,4/23/2015
2015,Big Indian Pond,St. Albans,4/23/2015
2015,Big Lake,"Princeton, Grand Lake Str., T27 ED BPP, No 21 Twp.",4/27/2015
2015,Cathance Lake,Cooper,4/28/2015
2015,Chickawaukie Pond,Rockland,4/19/2015
2015,Clary Lake,Whitefield,4/19/2015
2015,Cobbossee Lake,"Monmouth, Manchester, W. Gardiner, Winthrop",4/21/2015
2015,Cold Stream Pond,"Enfield, Lowell",4/25/2015
2015,Crawford Lake,Crawford,4/25/2015
2015,Crescent Lake,"Raymond, Casco",4/19/2015
2015,Cross Lake,"Cross Lake Twp., T16 R4 WELS",5/5/2015
2015,Damariscotta Lake,"Jefferson, Newcastle, Nobleboro",4/19/2015
2015,Eagle Lake,"Eagle Lake, T16 R6 WELS",5/4/2015
2015,East & West Musquash Lakes,"Topsfield, Talmadge, T6 R1 NBPP",4/28/2015
2015,East Grand Lake,"Danforth, Weston, Forest City",5/2/2015
2015,Embden Pond,Embden,4/29/2015
2015,Estes Lake,"Alford, Sanford",4/17/2015
2015,Flying Pond,"Vienna, Mt. Vernon",4/26/2015
2015,Gardners Lake,E. Machias,4/25/2015
2015,Grand Falls Flowage,Baileyville,4/23/2015
2015,Great Pond,"Belgrade, Rome",4/24/2015
2015,Green Lake,"Dedham, Ellsworth",4/22/2015
2015,Hadley Lake,Machias,4/22/2015
2015,Highland Lake,"Falmouth, Westbrook, Windham",4/18/2015
2015,Highland Lake,Bridgton,4/19/2015
2015,Hobbs Pond,Hope,4/20/2015
2015,Hosmer Pond,Camden,4/19/2015
2015,Keene Lake,Calais,4/27/2015
2015,Lake Auburn,Auburn,4/23/2015
2015,Lermond Pond,Hope,4/23/2015
2015,Little Sebago Lake,"Windham, Gray",4/17/2015
2015,Long Lake,"St. Agatha, T17 R4 WELS, T17 R3 WELS",5/5/2015
2015,Long Pond,"Belgrade, Mt. Vernon, Rome",4/25/2015
2015,Long Pond,Mount Desert Island,4/19/2015
2015,Long Pond (Great Pond),"Mount Desert, Southwest Harbor",4/20/2015
2015,Long/Lewey Lakes,Princeton,4/23/2015
2015,Lovewell Pond,Fryeburg,4/17/2015
2015,Lower Narrows Pond,Winthrop,4/22/2015
2015,"Machias Lakes - 1st, 2nd, 4th","T42 MD BPP, T43 MD BPP",4/24/2015
2015,Mattanawcook Lake,Lincoln,4/23/2015
2015,Mattawamkeag Lake,"T4R3 Wels, Island Falls",5/2/2015
2015,Meddybemps Lake,"Alexander, Baring, Meddybemps",4/28/2015
2015,Meddybemps Lake,Meddybemps,4/23/2015
2015,Megunticook Lake,Camden,4/20/2015
2015,Messalonskee Lake (aka - Snow Pond),"Oakland, Sidney",4/24/2015
2015,Millinocket Lake,"T7R9,T8R9 Wels",5/2/2015
2015,Minnehonk Lake,Mt. Vernon,4/22/2015
2015,Moody Pond,Lincolnville,4/19/2015
2015,Moosehead Lake,"Greenville, Beaver Cove, Lily Bay, Rockwood, NE Carry",5/5/2015
2015,Mooselookmeguntic Lake,"Oquossoc, Richardsontown, Rangeley Plt,Adamstown",5/6/2015
2015,Morrill Pond,Hartland,4/24/2015
2015,Mousam Lake,"Shapliegh, Acton",4/20/2015
2015,Nashs Lake,Calais,4/27/2015
2015,North Pond,"Mercer, Smithfield, Rome",4/22/2015
2015,Norton Pond,Lincolnville,4/20/2015
2015,Norway Lake (aka - Pennessawassee Lake),Norway,4/20/2015
2015,Panther Pond,Raymond,4/18/2015
2015,Parker Pond,"Vienna, Mt. Vernon, Fayette",4/23/2015
2015,Pattee Pond,Winslow,4/19/2015
2015,Pemaquid Pond,Nobleboro,4/17/2015
2015,Phillips Lake (aka Lucerne Lake),Dedham,4/22/2015
2015,Pleasant Lake,Alexander,4/27/2015
2015,Pleasant Pond,Richmond,4/21/2015
2015,Pushaw Lake,"Orono, Glenburn",4/21/2015
2015,Quantabacook Lake,"Morrill, Searsmont",4/20/2015
2015,Range Pond,Poland,4/19/2015
2015,Rangeley Lake,"Rangeley Plt., Rangeley",5/8/2015
2015,Sabattus Pond,Sabattus,4/20/2015
2015,Salmon Lake/McGrath Pond,"Belgrade, Oaklnd",4/23/2015
2015,Schoodic Lake,"Lake View Plt., Brownville",4/30/2015
2015,Sebago Lake,"Standish, Casco, Windham, Raymond, Sebago",4/24/2015
2015,Sebasticook Lake,Newport,4/22/2015
2015,Sebec Lake,"Sebec, Bowerbank, Willimantic, Dover Foxcroft",4/29/2015
2015,Songo Pond,Albany Twp.,4/24/2015
2015,St. Froid Lake,Winterville,5/5/2015
2015,Stump Pond,Lincoln,4/23/2015
2015,Tacoma Lakes,Litchfield,4/21/2015
2015,Togus Pond,Augusta,4/18/2015
2015,Unity Pond (aka Lake Winnecook),"Unity, Burnham, Troy",4/21/2015
2015,Washington Pond,Washington,4/21/2015
2015,Wassookeag Lake,Dexter,4/28/2015
2015,Webb Lake,Weld,4/27/2015
2015,Wessurunsett Lake,Madison,4/23/2015
2015,West Grand Lake,Grand Lake Stream,5/2/2015
2015,Worthley Pond,Peru,4/23/2015
2015,Wyman Lake,Bingham,4/29/2015
