Year,Lake_Name,Town,Ice_Out
2009,Beech Hill Pond,Otis,4/13/2009
2009,Big Wood Lake,Jackman,4/28/2009
2009,Branch Lake,Ellsworth,4/12/2009
2009,Brandy Pond,Naples,4/11/2009
2009,Chemo Pond,Eddington/Clifton,4/12/2009
2009,Chesuncook Lake,T3 R12 WELS,4/26/2009
2009,China Lake,China,4/13/2009
2009,Clary Lake,Jefferson,4/10/2009
2009,Cobbossee Lake,Monmouth,4/13/2009
2009,Cochnewagan Lake,Monmouth,4/11/2009
2009,Cross Lake,Cross Lake TWP,4/29/2009
2009,Crystal Lake,Gray,4/12/2009
2009,Damariscotta Lake,Jefferson,4/11/2009
2009,Eagle Lake,Eagle Lake,4/28/2009
2009,East Pond,Belgrade,4/12/2009
2009,Eddington Pond (aka Davis Pond),Eddington,4/6/2009
2009,Gardner Lake,E. Machias,4/21/2009
2009,Great Moose Lake,Hartland,4/16/2009
2009,Great Pond,Belgrade,4/13/2009
2009,Green Lake,Ellsworth,4/14/2009
2009,Harvey Pond,Madrid,4/20/2009
2009,Highland Lake,Windham/Falmouth,4/10/2009
2009,Kezar Lake,Lovell,4/17/2009
2009,King Pond,Great Pond Twp.,4/13/2009
2009,Lake Arrowhead,Waterboro,4/5/2009
2009,Lake St. George,Liberty,4/14/2009
2009,Lewey Lake,Princeton,4/16/2009
2009,Little Sebago Lake,Gray,4/11/2009
2009,Long Lake,Naples,4/15/2009
2009,Long Pond,Belgrade,4/13/2009
2009,Lovewell Pond,Fryeburg,4/12/2009
2009,Lower Narrows Pond,Winthrop,4/12/2009
2009,Lucerne Lake,Dedham,4/9/2009
2009,Maranacook Lake,Winthrop/Readfield,4/13/2009
2009,Meddybemps Lake,Alexander,4/21/2009
2009,Messalonskee Lake,Sidney,4/12/2009
2009,Moose Pond,Bridgton,4/15/2009
2009,Moosehead Lake,Greenville,4/26/2009
2009,Mooselookmeguntic Lake,Oquossoc,4/25/2009
2009,Morrill Pond,Hartland,4/14/2009
2009,Nequasset Lake,Woolwich,4/10/2009
2009,North Pond,Smithfield,4/11/2009
2009,Panther Pond,Raymond,4/12/2009
2009,Parker Pond,Vienna,4/14/2009
2009,Pemadumcook Lake chain,Millinocket area,4/26/2009
2009,Pemaquid Pond,Nobleboro,4/9/2009
2009,Phillips Lake,Dedham,4/13/2009
2009,Pleasant Pond,Litchfield,4/11/2009
2009,Porter Lake,New Vineyard,4/19/2009
2009,Pushaw Lake,Orono,4/13/2009
2009,Rangeley Lake,Rangeley,4/28/2009
2009,Sabattus Pond,Sabattus,4/11/2009
2009,Salmon/McGrath Ponds,Oakland,4/12/2009
2009,Schoodic Lake,Lake View Plt.,4/22/2009
2009,Sebago Lake,Sebago,4/12/2009
2009,Sebasticook Lake,Newport,4/13/2009
2009,Sebec Lake,Dover-Foxcroft,4/22/2009
2009,Sheepscot Lake,Palermo,4/14/2009
2009,Silver Lake,Bucksport,4/10/2009
2009,St. Froid Lake,Winterville,4/28/2009
2009,Tacoma Lakes,Litchfield,4/10/2009
2009,Third Machias,T43 MD BPP,4/21/2009
2009,Thomas Pond,Casco,4/11/2009
2009,Togus Pond,Augusta,4/10/2009
2009,Tunk Lake,T10 SD,4/14/2009
2009,Washington Pond,Washington,4/10/2009
2009,Webb Lake,Weld,4/17/2009
2009,Wesserunsett Lake,Madison,4/14/2009
2009,West Grand Lake,Grand Lake Stream,4/21/2009
2009,Young's Pond,Otis,4/13/2009
