Year,Lake_Name,Town,Ice_Out
2019,Alamoosook Lake,Orland,4/16/2019
2019,Arnold Pond,Coburn Gore,5/4/2019
2019,Attean Lake,Jackman,5/9/2019
2019,Beech Hill Pond,Otis,4/23/2019
2019,Big Indian Pond,St. Albans,4/29/2019
2019,Big Lake,"Princeton, Grand Lake Str,, Big Lake Twp, Greenlaw Chopping Twp",4/27/2019
2019,Big Wood Lake,Jackman,5/10/2019
2019,Biscay Pond,Damariscotta,4/5/2019
2019,Boyd Pond,Bristol,4/1/2019
2019,Boyden Lake,Perry,4/18/2019
2019,Branch Lake,Ellsworth,4/23/2019
2019,Brewer Lake,"Orrington, Bucksport",4/13/2019
2019,Cathance Lake,Cooper,4/21/2019
2019,Chamberlain Lake,"T6 R11 WELS, T6 R12 WELS, T7 R12 WELS, T7 R13 WELS",5/7/2019
2019,Chickawaukie Lake,"Rockland, rockport",4/9/2019
2019,China Lake,"China, Vassalboro",4/15/2019
2019,Churchill Lake,T9 R12 WELS,5/7/2019
2019,Clary Lake,Whitefield,4/14/2019
2019,Clayton Lake,T11 R14 WELS,4/29/2019
2019,Cobbossee Lake,"Monmouth, W. Gardiner, Winthrop, Manchester, Litchfield",4/16/2019
2019,Cochnewagon Lake,Monmouth,4/16/2019
2019,Cold Stream Pond,Enfield,4/27/2019
2019,Cox Pond,S. Berwick,4/2/2019
2019,Crawford Lake,Crawford,4/19/2019
2019,Crescent Lake,Casco,4/23/2019
2019,Cross Lake,"Cross Lake Twp., Square Lake Twp.",5/7/2019
2019,Crystal Lake,Gray,4/16/2019
2019,Damariscotta Lake,"Jefferson, Nobleboro",4/13/2019
2019,Donnell Pond,"Franklin, T9SD",4/25/2019
2019,Duckpuddle Pond,Nobleboro,4/7/2019
2019,Eagle Lake,"Eagle Lake, T16 R6 WELS",5/6/2019
2019,Eagle Lake,"Eagle Lake Twp, Soper Mtn Twp., T7 R12 WELS",5/8/2019
2019,Eagle Lake,Bar Harbor,4/16/2019
2019,East Grand Lake,"Danforth, Weston, Forest City",5/1/2019
