Year,Lake_Name,Town,Ice_Out
2019,East Musquash Lake,Topsfield,4/28/2019
2019,East Pond,"Oakland, Smithfield",4/22/2019
2019,Embden Pond,Embden,5/3/2019
2019,Flying Pond,"Vienna, Mt. Vernon",4/28/2019
2019,Gardners Lake,E. Machias,4/18/2019
2019,Great Moose Lake,"Hartland, Harmony",4/29/2019
2019,Great Pond,"Belgrade, Rome",4/23/2019
2019,Green Lake,"Dedham, Ellsworth",4/22/2019
2019,Haley Pond,"Rangeley, Dallas Plt.",5/7/2019
2019,Hancock Pond,"Denmark, Sebago",4/26/2019
2019,Highland Lake,Bridgton,4/26/2019
2019,Highland Lake,"Falmouth, Windham",4/12/2019
2019,Hopkins Pond,"Clifton, Mariaville",4/22/2019
2019,Horne Pond (Pequawket Lake),Limington,4/18/2019
2019,Hosmer Pond,Hosmer Pond,4/17/2019
2019,Indian Lake,Whiting,4/19/2019
2019,Junior Lake,"T5 R1 NBPP, Lakeville",4/29/2019
2019,Kennebunk Pond,Lyman,4/4/2019
2019,Kezar Lake,Lovell,4/29/2019
2019,Kingsbury Pond,Kingsbury,5/8/2019
2019,Knights Pond,S. Berwick,3/30/2019
2019,Lake Auburn,Auburn,4/22/2019
2019,Lake George,"Canaan, Skowhegan",4/29/2019
2019,Lake Minnehonk,Mt. Vernon,4/25/2019
2019,Lake St. George,Liberty,4/18/2019
2019,Lake Wassookeag,Dexter,4/29/2019
2019,Levensellar Pond,Lincolnville,4/14/2019
2019,Little Ossipee Lake,Waterboro,4/18/2019
2019,Little Sebago Lake,"Gray, Windham",4/20/2019
2019,Long lake,"St. Agatha, T17 R4 WELS, T17 R3 WELS",5/8/2019
2019,Long Lake,"T11 R13 WELS, T12 R13 WELS",5/6/2019
2019,Long Lake,"Naples, Bridgton, Harrison",4/29/2019
2019,Long Pond,"Belgrade, Mt. Vernon",4/22/2019
2019,Long Pond (aka Great Pond),"Mount Desert Island, Southwest Harbor",4/14/2019
2019,Long/Lewey Lakes,Princeton,4/18/2019
2019,Lower Mason Pond,Belfast,4/12/2019
2019,Maranacook Lake,"Winthrop, Readfield",4/23/2019
2019,Mattanawcook Lake,Lincoln,4/28/2019
2019,Mattawamkeag Lake,"T4R3 Wels, Island Falls",5/3/2019
2019,McCurdy Pond,Breman,4/3/2019
2019,Meddybemps Lake,"Meddybemps, Alexander, Baring Plt., Baileyville",4/22/2019
2019,Megunticook Lake,"Camden, Lincolnville, Hope",4/16/2019
2019,Messalonskee Lake (aka Snow Pond),"Oakland, Sidney, Belgrade",4/22/2019
2019,Moody Pond,Lincolnville,4/10/2019
2019,Moose pond,"Bridgton, Denmark",4/26/2019
2019,Moosehead Lake,"Greenville, Rockwood, Lily Bay, NE Carry Twp.",5/9/2019
2019,Mooselookmeguntic Lake/Cupsuptic Lake,"Adamstown, Rangeley, Rangeley Plt.,Richardsontown Twp.",5/10/2019
2019,Morrill Pond,Hartland,4/27/2019
2019,Mousam Lake,Shapleigh. Acton,4/27/2019
2019,Nehumkeag Pond,Pittston,4/6/2019
2019,Nequasset Lake,Woolwich,4/17/2019
2019,North Pond,"Mercer, Smithfield",4/26/2019
2019,Norton Pond,Lincolnville,4/18/2019
2019,Orange Lake,Whiting,4/18/2019
2019,Paradise Pond,Damariscotta,3/28/2019
2019,Parker Pond,"Fayette, Mount Vernon, Vienna, Chesterville",4/24/2019
2019,Pemadumcook Chain of Lakes,"T4 Indian Purchase, T3 Indian Purchase, T1 R9 WELS, T1 R10 WELS",5/6/2019
2019,Pemaquid Pond,"Nobleboro, Breman, Damariscotta, Waldo",4/5/2019
2019,Pennamaquan Lake,"Charlotte, Pembroke",4/22/2019
2019,Pennessawassee Lake,Norway,4/28/2019
2019,Phillips Lake (aka Lucerne Lake),Dedham,4/18/2019
2019,Piper Pond,Abbott,5/1/2019
2019,Pleasant Lake,Stetson,4/21/2019
2019,Pleasant Pond,Island Falls,5/7/2019
2019,Pleasant Pond,"Richmond, Litchfield, W. Gardiner",4/18/2019
2019,Puffers Pond (aka Echo Lake),Dexter,4/26/2019
2019,Pushaw Lake,"Orono, Glenburn,Hudson",4/22/2019
2019,"Range Ponds (Lower, Middle)",Poland,4/22/2019
2019,Rangeley Lake,"Rangeley, Rangeley Plt.",5/11/2019
2019,Raymond Pond,Raymond,4/21/2019
2019,Richardson Lake,"Township C, Richardsontown Twp.",5/8/2019
2019,Rocky Pond,Orland,4/16/2019
2019,Round Pond,T9 R13WELS,5/6/2019
2019,Round Pond,Charlotte,4/22/2019
2019,Runaround Pond,Durham,4/22/2019
2019,Sabattus Pond,"Greene, Wales, Sabattus",4/18/2019
2019,Sabbathday Lake,New Glouster,4/19/2019
2019,Salmon Lake / McGrath Pond,"Oakland, Belgrade",4/20/2019
2019,Schoodic Lake,"Lake View Plt., Brownville, T4R9NWP",5/3/2019
2019,Scituate Pond,York,4/3/2019
2019,Scopan Lake,"Scopan Twp., Masardis, T4 R11 WELS",5/6/2019
2019,Sebago Lake - 4/5/19 The ice went out of the Big Bay. Jordan Bay to Standish completely opened 4/18/19.,"Casco, Sebago, Naples, Standish, Windham",4/18/2019
2019,Sebasticook Lake,Newport,4/23/2019
2019,Sebec Lake,"Bowerbank, Willimantic, Dover Foxcroft, Sebec",5/3/2019
2019,Sheepscot Pond,Palermo,4/17/2019
2019,Silver Lake,Bucksport,4/16/2019
2019,Songo Pond,Albany,4/28/2019
2019,Square Lake,"Square Lake Twp., T15 R5 WELS",5/9/2019
2019,Stevens Pond,Liberty,4/18/2019
2019,Stump Pond,Lincoln,4/28/2019
2019,Tacoma Lakes,Litchfield,4/16/2019
2019,Thompson Lake,"Oxford, Otisfield, Casco",4/23/2019
2019,Threemile Pond,"Vassalboro, China, Windsor",4/9/2019
2019,Toddy Pond,"Orland, Penobscot, Surry, Blue Hill",4/17/2019
2019,Togus Pond,Augusta,4/7/2019
2019,Torsey Pond,"Readfield, Mt. Vernon",4/23/2019
2019,Umsaskus Lake,T11 R13 WELS,5/6/2019
2019,Unity Pond (aka Lake Winnecook),Unity,4/15/2019
2019,Varnum Pond,Temple,5/2/2019
2019,Washington Pond,Washington,4/11/2019
2019,Webb Lake,Weld,5/5/2019
2019,Wesserunsett Lake,Madison,4/27/2019
2019,West Grand Lake,"Grand Lake Str,, T6ND BPP, Sakom Twp., T6 R1 NBPP",4/30/2019
2019,West Pond,Ebeemee,4/30/2019
2019,Whetstone Pond,"Blanchard, Kingsbury",5/2/2019
2019,Whittier Pond,Vienna,4/22/2019
2019,Wilson Lake,Wilton,5/2/2019
2019,Wilson Pond,Wilton,5/2/2019
2019,Winnegance Lake,"Arrowsic, Phippsburg, West Bath",4/17/2019
2019,Wyman Lake,Bingham,5/1/2019
