Year,Lake_Name,Town,Ice_Out
2012,Alford Lake,Hope,3/23/2012
2012,Bauneg Beg Lake,N. Berwick/Sanford,3/20/2012
2012,Beech Hill Pond,Otis,3/21/2012
2012,Big Lake,Princeton,4/9/2012
2012,Big Wood Lake,Jackman,4/15/2012
2012,Bottle Lake,Lakeville,4/13/2012
2012,Cathance Lake,Cooper,3/24/2012
2012,Chickawaukie Lake,Rockland,3/12/2012
2012,China Lake,China/Vassalboro,3/23/2012
2012,Cobbossee Lake,Monmouth/Winthrop,3/23/2012
2012,Cold Stream Pond,Enfield,4/4/2012
2012,Crawford Lake,Crawford,3/24/2012
2012,Crescent Lake,Raymond,3/22/2012
2012,Cross Lake,Cross Lake Twp.,4/18/2012
2012,Crystal Lake,Gray,3/21/2012
2012,Damariscotta Lake,Jefferson/Nobleboro,3/21/2012
2012,Drews Lake aka Meduxnekeag Lake,Oakfield,4/13/2012
2012,Eagle Lake,Mount Desert Is.,3/13/2012
2012,Embden Pond,Embden,3/26/2012
2012,Flagstaff Lake,Flagstaff,4/6/2012
2012,Fox Pond,TWP 10 SD,3/19/2012
2012,Gardner's Lake,East Machias,3/23/2012
2012,Graham Lake,Ellsworth,3/21/2012
2012,Great Moose Lake,Hartland,3/27/2012
2012,Great Pond,Belgrade,3/24/2012
2012,Green Lake,Ellsworth/Dedham,3/22/2012
2012,Hancock Pond,Embden,3/26/2012
2012,Highland Lake,Windham/Falmouth,3/18/2012
2012,Highland Lake,Bridgton,3/24/2012
2012,Kezar Lake,Lovell,3/26/2012
2012,Lake George,Skowhegan,3/27/2012
2012,Lake St. George,Liberty,3/24/2012
2012,Lake Wassookeag,Dexter,4/5/2012
2012,Little Ossipee Lake,Limerick,3/18/2012
2012,Long Lake,Naples,3/24/2012
2012,Long Lake,St. Agatha,4/22/2012
2012,Long Pond,Mount Desert Is.,3/14/2012
2012,Long Pond,TWP 10 SD,3/20/2012
2012,Long Pond,Belgrade,3/24/2012
2012,Madawaska Lake,Madawaska Twp.,4/19/2012
2012,Maranacook Lake,Winthrop/Readfield,3/24/2012
2012,Meddybemps Lake,Alexander/Meddybemps,3/24/2012
2012,Megunticook Lake,Camden,3/12/2012
2012,Messalonskee Lake (aka - Snow Pond),Belgrade/Oakland,3/24/2012
2012,Millinocket Lake,T1 R8 WELS,4/7/2012
2012,Moose Pond,Bridgton,3/24/2012
2012,Moosehead Lake,Greenville/Rockwood,4/16/2012
2012,Mooselookmeguntic Lake,Oquossoc,4/16/2012
2012,Morrill Pond,Hartland,3/23/2012
2012,Mousam Lake,Acton/Shapleigh,3/21/2012
2012,Nequasset Lake,Woolwich,3/21/2012
2012,North Pond,Smithfield,3/23/2012
2012,Pemadumcook Lakes,Millinocket area,4/14/2014
2012,Phillips Lake (Lucerne),Dedham,3/22/2012
2012,Pleasant Pond,Richmond,3/22/2012
2012,Pocomoonshine Lake,Princeton,3/24/2012
2012,Pushaw Lake,Glenburn/Orono,3/25/2012
2012,Quimby Pond,Rangeley,4/7/2012
2012,Rangeley Lake,Rangeley,4/17/2012
2012,Schoodlic Lake,Lake View Plt.,3/25/2012
2012,Sebago Lake,"Casco, Windham, Sebago, Naples, Standish",3/19/2012
2012,Sebec Lake,Dover-Foxcroft,4/8/2012
2012,Sheepscot Pond,Palermo,3/24/2012
2012,Silver Lake,Bucksport,3/15/2012
2012,Songo Pond,Albany,3/22/2012
2012,Square Lake,Square Lake Twp.,4/20/2012
2012,Square Pond,Acton/Shapleigh,3/21/2012
2012,Tacoma Lakes,Litchfield,3/24/2012
2012,Thomas Pond,Raymond/Casco,3/22/2012
2012,Thompson Lake,Otisfield,3/23/2012
2012,Threemile Pond,China/Windsor,3/23/2012
2012,Unity Pond (aka Lake Winnecook),Unity,3/23/2012
2012,Webb Lake,Weld,3/28/2012
2012,Webber Pond,Vassalboro,3/23/2012
2012,Wesserunsett Lake,Madison,3/25/2012
2012,West Grand Lake,Grand Lake Stream,4/14/2012
2012,Worthley Pond,Peru,3/25/2012
2012,Wyman Lake,Bingham,4/12/2012
2012,Youngs Pond,Otis,3/22/2012
