Year,Lake_Name,Town,Ice_Out
2007,Annabessacook Lake,Monmouth,4/22/2007
2007,Beech Hill Pond,Otis,4/25/2007
2007,Brewer Lake,Orrington,4/28/2007
2007,Chickawaukie Pond,Rockland,4/14/2007
2007,China Lake,China,4/25/2007
2007,Cobbossee Lake,Monmouth,4/25/2007
2007,Cold Stream Pond,Enfield,4/27/2007
2007,Crystal Lake,Gray,4/23/2007
2007,Damariscotta Lake,Jefferson,4/22/2007
2007,Eagle Lake,Eagle Lake,5/16/2007
2007,East Grand Lake,Danforth,5/8/2007
2007,East Pond,Smithfield,4/24/2007
2007,East Pond,Smithfield,4/24/2007
2007,Echo Lake,Mt. Desert Island,4/23/2007
2007,Echo Lake,Mt. Vernon,4/25/2007
2007,Gardner Lake,E. Machias,4/22/2007
2007,Great East Lake,Acton,4/23/2007
2007,Great Moose Lake,Hartland,4/27/2007
2007,Great Pond,Belgrade,4/27/2007
2007,Green Lake,Ellsworth,4/24/2007
2007,Highland Lake,Windham,4/20/2007
2007,Johnson Pond (4 acres),Waterville,4/18/2007
2007,Lake Auburn,Auburn,4/24/2007
2007,Lake St. George,Liberty,4/25/2007
2007,Little Ossipee Lake,Limerick,4/20/2007
2007,Long Lake,Bridgton/Harrison,4/23/2007
2007,Long Lake,Mt. Desert Island,4/23/2007
2007,Long Pond,Belgrade,4/27/2007
2007,Lower Narrows Pond,Winthrop,4/23/2007
2007,Lucerne Lake,Dedham,4/24/2007
2007,Maranacook Lake,Winthrop/Readfield,4/25/2007
2007,Meddybemps Lake,Meddybemps,4/22/2007
2007,Megunticook Lake,Camden,4/24/2007
2007,Messalonskee Lake,Belgrade/Oakland,4/27/2007
2007,Moose Pond,Bridgton,4/23/2007
2007,Moosehead Lake,Greenville,5/12/2007
2007,Mousam Lake,Acton,4/22/2007
2007,North Pond,Smithfield,4/24/2007
2007,Panther Pond,Raymond,4/23/2007
2007,Parker Pond,Vienna,4/28/2007
2007,Pemadumcook Lake,T1R9 WELS,5/13/2007
2007,Pleasant Pond,Richmond,4/23/2007
2007,Pocomoonshine Lake,Princeton,5/3/2007
2007,Quantabacook,Searsmont,4/23/2007
2007,Rangeley Lake,Rangeley,5/12/2007
2007,Sabattus Pond,Sabattus,4/23/2007
2007,Schoodic Lake,Lake View Plt.,5/4/2007
2007,Sebago Lake,Casco,4/23/2007
2007,Sebec Lake,Dover-Foxcroft,5/8/2007
2007,Sheepscot Pond,Palermo,4/25/2007
2007,Songo Pond,Albany,4/24/2007
2007,Tacoma Lakes,Litchfield,4/25/2007
2007,Thompson Lake,Oxford,4/23/2007
2007,Threemile Pond,China,4/24/2007
2007,Togus Pond,Augusta,4/22/2007
2007,Torsey Lake,Readfield,4/25/2007
2007,Tunk Lake,T10 SD,4/23/2007
2007,Unity Pond (Lake Winnicook),Unity,4/25/2007
2007,Webb Lake,Weld,5/5/2007
2007,Wesserunsett Lake,Madison,4/27/2007
2007,West Grand Lake,Grand Lake Stream,5/3/2007
